Filename,username,country,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C, TTR, Mean word rank, Mean naming RT, AoA
sampled__delirium.Denmark.txt,_delirium,Denmark,28094,978,3656,2771,1329,1338,854,517,3404,28.726,21.1392,10.1386,2.8333,2.7509,2.085,0.4829,1.0068,1.3589,0.6426,0.389,0.1866,2.5613,1.2284,0.351485149,2776.049334,612.141946,5.525325602
sampled__kemot.Germany.txt,_kemot,Germany,21571,976,3215,2440,1239,1090,742,518,2009,22.1014,17.41,8.8406,2.5,2.5948,1.9693,0.4467,0.8797,1.2695,0.5989,0.4181,0.2123,1.6215,0.8234,0.260654113,1426.280971,597.6878501,5.03066254
sampled__mach.Denmark.txt,_mach,Denmark,22662,963,3409,2579,1344,1111,768,364,2394,23.5327,16.8616,8.7871,2.6781,2.5365,1.9189,0.4308,0.8266,1.3956,0.5714,0.2708,0.1411,1.7812,0.9283,0.337781785,1908.85807,604.4950409,5.216397518
sampled__MusicJunkie.Austria.txt,_MusicJunkie,Austria,22145,946,3244,2458,1266,1040,732,379,2170,23.4091,17.4921,9.0094,2.5983,2.5624,1.9415,0.4231,0.8215,1.3383,0.5782,0.2994,0.1542,1.7141,0.8828,0.268390007,1768.068008,604.2301167,5.133788188
sampled__teslaTrooper.Netherlands.txt,_teslaTrooper,Netherlands,17142,664,2628,1890,819,920,533,292,1769,25.8163,20.9304,9.0698,2.8464,3.2088,2.3077,0.4868,1.1233,1.2334,0.6508,0.3565,0.1545,2.16,0.936,0.32296517,2102.878376,605.8933117,5.308931552
sampled__throwawayagain_.Sweden.txt,_throwawayagain_,Sweden,34333,907,4944,3658,1155,2126,891,647,4013,37.8534,29.7255,9.3857,4.0331,4.2805,3.1671,0.5812,1.8407,1.2734,0.7714,0.5602,0.1769,3.4745,1.097,0.311887655,1839.721097,604.9486965,5.183058797
sampled__winterofdiscontent_.Finland.txt,_winterofdiscontent_,Finland,23461,998,3524,2642,1224,1359,850,531,2314,23.508,19.1675,8.88,2.6473,2.8791,2.1585,0.5144,1.1103,1.2265,0.6944,0.4338,0.201,1.8905,0.8759,0.298769179,1733.212443,603.221614,5.071707962
sampled__Wolfos.Netherlands.txt,_Wolfos,Netherlands,22358,997,3286,2586,1378,1100,822,342,2158,22.4253,16.225,8.6458,2.5938,2.3846,1.8766,0.4254,0.7983,1.3821,0.5965,0.2482,0.1323,1.566,0.8345,0.297283267,1839.217858,604.6040132,5.367623875
sampled_0_0_0.Finland.txt,0_0_0,Finland,22373,945,3052,2220,1162,954,660,393,2483,23.6751,19.2539,10.0779,2.3492,2.6265,1.9105,0.4297,0.821,1.2296,0.568,0.3382,0.177,2.1368,1.1185,0.397158205,2834.837463,610.0927622,5.515597901
sampled_0x_.Netherlands.txt,0x_,Netherlands,11691,389,1682,1217,512,599,338,209,1296,30.054,22.834,9.6064,3.1285,3.2852,2.377,0.4922,1.1699,1.3162,0.6602,0.4082,0.1717,2.5312,1.0649,0.344827586,2296.059626,608.0979035,5.3643706
sampled_12CylindersofPain.Finland.txt,12CylindersofPain,Finland,28016,983,4153,2938,1286,1477,856,529,3168,28.5005,21.7854,9.5357,2.9888,3.2294,2.2846,0.5027,1.1485,1.3082,0.6656,0.4114,0.1801,2.4635,1.0783,0.332943535,2092.349315,606.0210221,5.165102293
sampled_2722010.Netherlands.txt,2722010,Netherlands,22140,945,3513,2609,1234,1213,780,388,2054,23.4286,17.9417,8.486,2.7608,2.8468,2.1143,0.4649,0.983,1.3058,0.6321,0.3144,0.1487,1.6645,0.7873,0.314022269,1884.654836,603.3921134,5.202644826
sampled_29255DaysToGo.Norway.txt,29255DaysToGo,Norway,24983,956,3951,2970,1408,1353,926,532,2461,26.1328,17.7436,8.4118,3.1067,2.8061,2.1094,0.4556,0.9609,1.4728,0.6577,0.3778,0.1791,1.7479,0.8286,0.2564619,1404.948976,600.8087628,5.034297603
sampled_2A1ZA.Germany.txt,2A1ZA,Germany,28579,994,3158,2356,1139,1104,715,750,3832,28.7515,25.0913,12.1303,2.3702,2.7726,2.0685,0.4686,0.9693,1.1459,0.6277,0.6585,0.3183,3.3644,1.6265,0.331475353,3574.908727,614.0214708,5.761586137
sampled_2baldguys.Sweden.txt,2baldguys,Sweden,22565,954,3115,2328,1195,1029,700,624,2303,23.653,18.8828,9.6929,2.4403,2.6067,1.9481,0.442,0.8611,1.2526,0.5858,0.5222,0.268,1.9272,0.9893,0.354097819,1934.055188,603.3079717,4.9917031
sampled_4-Vektor.Germany.txt,4-Vektor,Germany,18722,753,2356,1792,915,823,553,379,2200,24.8632,20.4612,10.4475,2.3798,2.5749,1.9585,0.4593,0.8995,1.2151,0.6044,0.4142,0.2115,2.4044,1.2277,0.376808973,2664.951339,609.9154819,5.452841572
sampled_53bvo.Netherlands.txt,53bvo,Netherlands,21881,957,3230,2557,1155,1268,780,426,2267,22.8642,18.9446,8.5573,2.6719,2.7965,2.2139,0.4959,1.0978,1.2069,0.6753,0.3688,0.1666,1.9628,0.8866,0.295328583,1564.23848,602.5191087,5.074664764
sampled_7Seyo7.Sweden.txt,7Seyo7,Sweden,23340,984,3574,2783,1253,1416,862,343,2339,23.7195,18.6273,8.3866,2.8283,2.8524,2.2211,0.5088,1.1301,1.2734,0.6879,0.2737,0.1232,1.8667,0.8405,0.320594847,2068.620785,604.5915519,5.268896282
