username, TTR, Mean word rank, Mean naming RT, AoA,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
10art1_US,0.026910948,2143.490558,606.7457164,5.304823452,509994,32516,86018,68691,37728,28361,18168,8588,50617,15.6844,13.5177,7.4245,2.1125,2.28,1.8207,0.4129,0.7517,1.1603,0.4816,0.2276,0.125,1.3416,0.7369
4ringcircus_US,0.021891589,2097.547117,605.6123125,5.294224638,975020,84947,163047,129143,86530,44237,32770,15470,97958,11.478,11.268,7.5499,1.5203,1.8843,1.4925,0.3425,0.5112,1.0186,0.3787,0.1788,0.1198,1.1321,0.7585
7LeagueBoots_US,0.028921356,2379.749569,608.8408344,5.294997956,68080,3608,9054,7079,4223,2688,1878,1523,7671,18.8692,16.1212,9.6172,1.962,2.144,1.6763,0.3797,0.6365,1.1705,0.4447,0.3606,0.2151,1.8165,1.0836
aaronwhite1786_US,0.022663758,1527.830014,602.3982667,4.958743315,100414,5461,16176,11853,6423,5070,3321,1944,9774,18.3875,15.6335,8.4716,2.1705,2.5184,1.8454,0.4277,0.7894,1.1762,0.517,0.3027,0.164,1.5217,0.8246
adlerchen_US,0.029836624,2822.960684,611.7443002,5.580159568,5528,214,659,510,271,232,138,141,681,25.8318,20.3985,10.8392,2.3832,2.4317,1.8819,0.4549,0.8561,1.2664,0.5092,0.5203,0.2765,2.5129,1.3353
AdmiralAkbar1_US,0.03595765,2811.39307,609.77953,5.376062639,14583,664,1806,1369,768,559,370,315,1624,21.9623,18.9883,10.6523,2.0617,2.3516,1.7826,0.4083,0.7279,1.1566,0.4818,0.4102,0.2301,2.1146,1.1863
Afflo_US,0.032572835,2455.625082,608.9653233,5.307456598,25297,1331,3377,2597,1609,890,717,545,2702,19.006,15.7222,9.7409,1.9512,2.0988,1.614,0.3427,0.5531,1.2089,0.4456,0.3387,0.2099,1.6793,1.0404
Aleitheo_UK,0.024514108,1803.410881,604.4734086,5.136228196,755,33,115,89,41,36,24,11,72,22.8788,18.4146,8.4831,2.697,2.8049,2.1707,0.4045,0.878,1.2424,0.5854,0.2683,0.1236,1.7561,0.809
Ameisen_US,0.029452392,2958.063328,611.9443031,5.56434257,91899,6873,13946,11077,7362,3684,2585,1701,8931,13.371,12.4829,8.2964,1.6117,1.8943,1.5046,0.3326,0.5004,1.0711,0.3511,0.2311,0.1536,1.2131,0.8063
AnotherSmegHead_US,0.031930261,2023.352318,605.1091521,5.15748897,7055,395,1028,816,470,276,199,135,712,17.8608,15.0106,8.6458,2.0658,2.1872,1.7362,0.3382,0.5872,1.1899,0.4234,0.2872,0.1654,1.5149,0.8725
AtomicKoala_Ireland,0.023629154,2644.555827,611.066793,5.546681729,1400197,103890,216911,171637,111081,56624,41516,20420,149282,13.4777,12.6052,8.1579,1.6521,1.9527,1.5452,0.3299,0.5098,1.0692,0.3737,0.1838,0.119,1.3439,0.8698
auryn0151_US,0.024201043,2127.279859,606.9988268,5.363684,1404254,89782,232528,173992,97424,74052,47407,22766,150949,15.6407,14.4138,8.0708,1.9379,2.3868,1.7859,0.4256,0.7601,1.0851,0.4866,0.2337,0.1308,1.5494,0.8676
banethesithari_UK,0.019450447,2102.501565,605.0109751,5.229935058,16508,675,2312,1743,776,869,459,464,1725,24.4563,21.2732,9.471,2.5822,2.9794,2.2461,0.4986,1.1198,1.1496,0.5915,0.5979,0.2662,2.2229,0.9897
bearsnchairs_US,0.026037505,2667.41516,611.0966214,5.563447132,1136,77,145,103,81,23,20,24,107,14.7532,14.0247,11.0291,1.3377,1.7901,1.2716,0.2233,0.284,1.0519,0.2469,0.2963,0.233,1.321,1.0388
ben1204_US,0.0266668,2307.261065,609.5121333,5.402032379,10821,536,1157,868,584,288,177,234,1214,20.1884,18.5291,12.4666,1.6194,1.9812,1.4863,0.3318,0.4932,1.0896,0.3031,0.4007,0.2696,2.0788,1.3986
berlin-calling_US,0.024757043,1358.003751,601.2760383,4.954314022,8393,516,1241,882,569,315,229,183,792,16.2655,14.7504,9.5159,1.7093,2.181,1.5501,0.3571,0.5536,1.1027,0.4025,0.3216,0.2075,1.3919,0.898
BlueShellOP_US,0.025420684,1870.828501,604.9522345,5.213916167,392238,23929,62131,48454,28876,18357,13269,6904,37609,16.3917,13.5835,8.0951,2.0249,2.1516,1.678,0.3789,0.6357,1.2067,0.4595,0.2391,0.1425,1.3024,0.7762
bluthru_US,0.028311372,2229.637407,608.1189215,5.419972994,880240,71223,139865,111607,74914,37657,27655,13523,91209,12.3589,11.75,7.887,1.567,1.867,1.4898,0.3374,0.5027,1.0518,0.3692,0.1805,0.1212,1.2175,0.8172
bobcobble_UK,0.011731393,2340.963301,604.0134396,5.582416068,248,10,29,23,12,12,7,3,34,24.8,20.6667,10.7826,2.3,2.4167,1.9167,0.5217,1,1.2,0.5833,0.25,0.1304,2.8333,1.4783
BoilerButtSlut_US,0.023923171,2063.187733,606.6188368,5.31077405,1033114,61202,160126,125976,71870,50917,35344,18020,101129,16.8804,14.3748,8.2009,2.0584,2.228,1.7528,0.4042,0.7085,1.1743,0.4918,0.2507,0.143,1.4071,0.8028
BonzoTheBoss_UK,0.028201328,2426.701866,609.3838602,5.343810339,9612,431,1351,1009,548,423,291,217,945,22.3016,17.5401,9.5263,2.3411,2.4653,1.8412,0.4192,0.7719,1.2715,0.531,0.396,0.2151,1.7245,0.9366
Bossman1086_US,0.023050615,1484.085374,603.5044794,5.103377408,12188,774,1698,1271,806,467,340,239,1199,15.7468,15.1216,9.5893,1.6421,2.1067,1.5769,0.3674,0.5794,1.0413,0.4218,0.2965,0.188,1.4876,0.9434
bottomlines_UK,0.025043392,2249.181453,607.4782172,5.394646648,1776,115,234,166,115,54,40,34,207,15.4435,15.4435,10.6988,1.4435,2.0348,1.4435,0.3253,0.4696,1,0.3478,0.2957,0.2048,1.8,1.247
Bridgeru_Ireland,0.030696411,2316.185267,607.5369788,5.243310372,9073,359,1381,1030,496,452,271,180,887,25.273,18.2923,8.8087,2.8691,2.7843,2.0766,0.4388,0.9113,1.3816,0.5464,0.3629,0.1748,1.7883,0.8612
BritRedditor1_UK,0.027405512,3133.659965,614.8723976,5.765795154,55639,2434,6962,5207,2699,2189,1371,975,7250,22.8591,20.6147,10.6854,2.1393,2.5795,1.9292,0.4204,0.811,1.1089,0.508,0.3612,0.1872,2.6862,1.3924
CaffeinatedT_UK,0.023880442,2263.661035,607.7144507,5.374886639,586436,26262,85625,64037,29413,31648,17165,12340,67654,22.3302,19.938,9.1578,2.4384,2.9111,2.1772,0.4942,1.076,1.12,0.5836,0.4195,0.1927,2.3001,1.0565
candre23_US,0.030164028,2186.727542,607.4200148,5.352683914,23082,1278,3345,2459,1566,885,710,471,2241,18.061,14.7395,9.3867,1.9241,2.136,1.5702,0.3599,0.5651,1.2254,0.4534,0.3008,0.1915,1.431,0.9113
canyoufeelme_UK,0.023476296,2032.796258,605.2636305,5.29318912,1593,87,260,199,95,98,49,39,161,18.3103,16.7684,8.005,2.2874,2.7368,2.0947,0.4925,1.0316,1.092,0.5158,0.4105,0.196,1.6947,0.809
CaptainCupcakez_UK,0.024178146,1919.788767,605.2242406,5.270146174,11310,529,1640,1212,634,530,302,202,1046,21.38,17.8391,9.3317,2.2911,2.5868,1.9117,0.4373,0.836,1.1985,0.4763,0.3186,0.1667,1.6498,0.863
cbfw86_UK,0.030735227,2142.98947,606.2419242,5.262045168,347934,26439,54425,43422,28229,15121,10800,5924,35150,13.1599,12.3254,8.0129,1.6423,1.928,1.5382,0.3482,0.5357,1.0677,0.3826,0.2099,0.1364,1.2452,0.8095
ChiliFlake_US,0.031709266,1617.896083,602.6692495,4.963205604,540291,38430,90440,71694,42078,25512,17900,9334,48439,14.0591,12.8402,7.5361,1.8656,2.1493,1.7038,0.3558,0.6063,1.0949,0.4254,0.2218,0.1302,1.1512,0.6756
Chive_Ireland,0.029106614,2136.865421,606.8508364,5.232161549,675422,38574,99746,78102,44390,32065,21789,12055,70952,17.5098,15.2156,8.6479,2.0247,2.247,1.7595,0.4106,0.7223,1.1508,0.4909,0.2716,0.1543,1.5984,0.9085
chowieuk_UK,0.023074801,2481.932397,610.5109343,5.552971144,21172,1052,2802,2109,1125,862,507,411,2380,20.1255,18.8196,10.0389,2.0048,2.4907,1.8747,0.4087,0.7662,1.0694,0.4507,0.3653,0.1949,2.1156,1.1285
chrisjd_UK,0.020823021,2348.109993,607.6966243,5.415926735,197614,9076,30802,23351,10774,11115,6440,3182,21597,21.7732,18.3417,8.4628,2.5728,2.8589,2.1673,0.476,1.0317,1.1871,0.5977,0.2953,0.1363,2.0045,0.9249
Clbull_UK,0.028641376,2536.01952,609.3020336,5.471197307,28045,1396,3739,2772,1595,1151,755,606,2682,20.0895,17.5831,10.1172,1.9857,2.3442,1.7379,0.4152,0.7216,1.1426,0.4734,0.3799,0.2186,1.6815,0.9675
collinsl02_UK,0.029217145,2349.305059,605.9262756,5.220768122,25720,1216,3691,2778,1445,1253,735,502,2583,21.1513,17.7993,9.2585,2.2845,2.5543,1.9225,0.451,0.8671,1.1883,0.5087,0.3474,0.1807,1.7875,0.9298
cometparty_US,0.028098728,1939.373312,606.1994801,5.264433231,1311638,120137,224986,185284,124947,60838,44255,17532,127263,10.9179,10.4976,7.0791,1.5423,1.8007,1.4829,0.3283,0.4869,1.04,0.3542,0.1403,0.0946,1.0185,0.6869
concretepigeon_UK,0.025512617,1915.167258,605.9122953,5.176235299,1229847,81370,196123,157292,90930,65212,45080,21721,125522,15.1143,13.5252,7.8189,1.933,2.1569,1.7298,0.4146,0.7172,1.1175,0.4958,0.2389,0.1381,1.3804,0.798
CosmicKeys_NewZealand,0.017410152,2294.355521,606.7009042,5.557362959,16029,806,2322,1731,933,741,473,244,1901,19.8871,17.1801,9.26,2.1476,2.4887,1.8553,0.4281,0.7942,1.1576,0.507,0.2615,0.141,2.0375,1.0982
Cyridius_Ireland,0.025965811,2600.219327,609.4261778,5.469788361,20488,832,2562,1937,978,848,528,431,2492,24.625,20.9489,10.5772,2.3281,2.6196,1.9806,0.4378,0.8671,1.1755,0.5399,0.4407,0.2225,2.5481,1.2865
Cyrius_US,0.033502812,2614.116124,609.2746207,5.411287643,326623,26445,50512,40923,27302,13301,9731,4209,34035,12.351,11.9633,7.9814,1.5475,1.8501,1.4989,0.325,0.4872,1.0324,0.3564,0.1542,0.1029,1.2466,0.8317
DaveChild_UK,0.025775723,2152.285908,607.0892089,5.328208898,193945,12463,31161,24358,13873,9845,6528,2843,20570,15.5617,13.98,7.9623,1.9544,2.2462,1.7558,0.4042,0.7097,1.1131,0.4706,0.2049,0.1167,1.4827,0.8445
daychilde_US,0.027364474,1674.214293,603.5878546,5.064286934,56232,3760,9639,7483,4622,2741,1930,847,5189,14.9553,12.1662,7.5146,1.9902,2.0855,1.619,0.3663,0.593,1.2293,0.4176,0.1833,0.1132,1.1227,0.6934
dcman00000_US,0.024399513,2527.6867,610.8648904,5.554612452,94639,4140,11511,8847,4619,3984,2550,2000,12321,22.8597,20.4891,10.6973,2.137,2.4921,1.9153,0.4503,0.8625,1.1157,0.5521,0.433,0.2261,2.6675,1.3927
DEADB33F_UK,0.028761817,2270.472922,607.3829654,5.312695671,10867,494,1507,1076,544,506,305,229,1206,21.998,19.9761,10.0994,2.1781,2.7702,1.9779,0.4703,0.9301,1.1012,0.5607,0.421,0.2128,2.2169,1.1208
DejaBoo_US,0.02779748,2376.802443,607.103425,5.465222063,140705,6810,19718,14922,7657,6873,4138,2967,16294,20.6615,18.376,9.4294,2.1912,2.5752,1.9488,0.4606,0.8976,1.1244,0.5404,0.3875,0.1988,2.128,1.0919
Demonweed_US,0.029339987,2967.136747,614.2834839,5.68050865,455784,22399,63762,46751,25373,20805,13974,6042,59276,20.3484,17.9633,9.7492,2.0872,2.513,1.8425,0.445,0.82,1.1328,0.5507,0.2381,0.1292,2.3362,1.2679
designgoddess_US,0.024134774,1426.832891,601.2641039,4.851392981,14535,1343,2559,1996,1361,688,518,228,1284,10.8228,10.6796,7.2821,1.4862,1.8802,1.4666,0.3447,0.5055,1.0134,0.3806,0.1675,0.1142,0.9434,0.6433
