Filename,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
9A4172.Bosnia.txt,1034408,74224,167782,135144,82999,48652,35372,15453,106715,13.9363,12.4629,7.6541,1.8208,2.0215,1.6283,0.3600,0.5862,1.1182,0.4262,0.1862,0.1143,1.2857,0.7896
Adahn5.Italy.txt,8126,393,1181,889,454,424,248,197,885,20.6768,17.8987,9.1406,2.2621,2.6013,1.9581,0.4769,0.9339,1.1552,0.5463,0.4339,0.2216,1.9493,0.9955
Aemilius_Paulus.Russia.txt,536233,26330,79511,64082,33482,25639,16995,10684,54143,20.3659,16.0156,8.3679,2.4338,2.3747,1.9139,0.4001,0.7658,1.2716,0.5076,0.3191,0.1667,1.6171,0.8449
Airazz.Lithuania.txt,3670,196,523,421,262,125,102,75,343,18.7245,14.0076,8.7173,2.1480,1.9962,1.6069,0.2969,0.4771,1.3367,0.3893,0.2863,0.1781,1.3092,0.8147
Amanoo.Netherlands.txt,530428,39392,81904,65830,42338,23437,16714,7777,51020,13.4654,12.5284,8.0575,1.6712,1.9345,1.5549,0.3560,0.5536,1.0748,0.3948,0.1837,0.1181,1.2051,0.7750
AnTyx.Estonia.txt,1390688,95672,174579,125537,91570,43668,32364,32229,175383,14.5360,15.1872,11.0779,1.3122,1.9065,1.3709,0.3478,0.4769,0.9571,0.3534,0.3520,0.2567,1.9153,1.3971
AntiChr1st.Norway.txt,1161734,62300,192702,149214,72874,66167,39280,17442,119567,18.6474,15.9417,7.7857,2.3951,2.6443,2.0476,0.4434,0.9080,1.1697,0.5390,0.2393,0.1169,1.6407,0.8013
ArttuH5N1.Finland.txt,1063356,82370,178009,143287,87559,52906,35686,16638,102890,12.9095,12.1445,7.4212,1.7396,2.0330,1.6365,0.3692,0.6042,1.0630,0.4076,0.1900,0.1161,1.1751,0.7181
Arve.Norway.txt,20049,873,2689,1961,1015,877,504,414,2183,22.9656,19.7527,10.2239,2.2463,2.6493,1.9320,0.4472,0.8640,1.1627,0.4966,0.4079,0.2111,2.1507,1.1132
Asyx.Germany.txt,78750,4786,11803,9539,5150,3918,2513,1591,7503,16.4542,15.2913,8.2556,1.9931,2.2918,1.8522,0.4107,0.7608,1.0761,0.4880,0.3089,0.1668,1.4569,0.7866
BabyWookie.Russia.txt,1109036,68049,142318,109827,73254,35333,26325,29837,115008,16.2976,15.1396,10.0980,1.6139,1.9428,1.4993,0.3217,0.4823,1.0765,0.3594,0.4073,0.2717,1.5700,1.0472
Bhima.Austria.txt,637342,27316,88748,54879,29593,27468,15646,22655,72891,23.3322,21.5369,11.6136,2.0090,2.9990,1.8545,0.5005,0.9282,1.0834,0.5287,0.7656,0.4128,2.4631,1.3282
BorgDrone.Netherlands.txt,900441,56843,143733,110976,63439,43121,28743,13555,89294,15.8408,14.1938,8.1138,1.9523,2.2657,1.7493,0.3886,0.6797,1.1160,0.4531,0.2137,0.1221,1.4076,0.8046
Buffalox.Denmark.txt,796612,39143,120405,97755,50794,42475,28691,14067,77169,20.3513,15.6832,8.1491,2.4974,2.3705,1.9245,0.4345,0.8362,1.2977,0.5649,0.2769,0.1439,1.5193,0.7894
Chariotwheel.Germany.txt,9290,557,1121,852,524,324,223,169,975,16.6786,17.7290,10.9038,1.5296,2.1393,1.6260,0.3803,0.6183,0.9408,0.4256,0.3225,0.1984,1.8607,1.1444
DarthSatoris.Denmark.txt,6231,314,885,714,393,269,186,102,613,19.8439,15.8550,8.7269,2.2739,2.2519,1.8168,0.3768,0.6845,1.2516,0.4733,0.2595,0.1429,1.5598,0.8585
Delheru.Finland.txt,323261,16684,48365,37877,19582,16814,10581,4755,36227,19.3755,16.5081,8.5345,2.2703,2.4699,1.9343,0.4439,0.8586,1.1737,0.5403,0.2428,0.1255,1.8500,0.9564
DerberAuner.Germany.txt,5330,248,765,576,294,238,155,72,565,21.4919,18.1293,9.2535,2.3226,2.6020,1.9592,0.4132,0.8095,1.1855,0.5272,0.2449,0.1250,1.9218,0.9809
Dissentient.Latvia.txt,512188,28085,79517,59773,32638,25838,17512,9173,54056,18.2371,15.6930,8.5689,2.1283,2.4363,1.8314,0.4323,0.7917,1.1621,0.5366,0.2811,0.1535,1.6562,0.9044
DocTomoe.Germany.txt,144205,8717,21746,16709,9611,6700,4388,2125,15275,16.5430,15.0042,8.6304,1.9168,2.2626,1.7385,0.4010,0.6971,1.1026,0.4566,0.2211,0.1272,1.5893,0.9142
Doldenberg.Germany.txt,1081764,61002,170935,132120,68670,57851,35238,16225,114677,17.7333,15.7531,8.1877,2.1658,2.4892,1.9240,0.4379,0.8424,1.1257,0.5131,0.2363,0.1228,1.6700,0.8680
Dragoniel.Lithuania.txt,451096,28971,66495,49950,32823,16036,12351,9048,42878,15.5706,13.7433,9.0310,1.7241,2.0259,1.5218,0.3210,0.4886,1.1330,0.3763,0.2757,0.1811,1.3063,0.8584
Erratic85.Spain.txt,1175631,58035,193773,147331,70502,71440,40602,19519,117610,20.2573,16.6751,7.9795,2.5387,2.7485,2.0897,0.4849,1.0133,1.2148,0.5759,0.2769,0.1325,1.6682,0.7983
Eryemil.Spain.txt,80634,4962,12515,9713,5548,4054,2619,1533,8935,16.2503,14.5339,8.3017,1.9575,2.2558,1.7507,0.4174,0.7307,1.1181,0.4721,0.2763,0.1578,1.6105,0.9199
Falsus.Sweden.txt,949283,65609,143248,117995,69353,46982,31077,16469,92779,14.4688,13.6877,8.0451,1.7985,2.0655,1.7014,0.3982,0.6774,1.0571,0.4481,0.2375,0.1396,1.3378,0.7863
Florac.Austria.txt,17914,795,2501,1748,855,804,384,238,1893,22.5333,20.9520,10.2483,2.1987,2.9251,2.0444,0.4600,0.9404,1.0755,0.4491,0.2784,0.1362,2.2140,1.0830
FrigOffCyrus.Germany.txt,7536,287,822,615,332,247,171,172,938,26.2578,22.6988,12.2537,2.1429,2.4759,1.8524,0.4016,0.7440,1.1568,0.5151,0.5181,0.2797,2.8253,1.5252
FuujinSama.Portugal.txt,463786,30234,77314,60099,34210,24384,16452,8106,43951,15.3399,13.5570,7.7170,1.9878,2.2600,1.7568,0.4057,0.7128,1.1315,0.4809,0.2369,0.1349,1.2847,0.7313
Gareth321.Denmark.txt,371090,27005,58986,46648,29912,16791,12520,6080,38737,13.7415,12.4061,7.9551,1.7274,1.9720,1.5595,0.3600,0.5613,1.1076,0.4186,0.2033,0.1303,1.2950,0.8304
Gingor.Austria.txt,400762,27854,64513,49764,29829,19281,12890,6063,39449,14.3880,13.4353,8.0533,1.7866,2.1628,1.6683,0.3874,0.6464,1.0709,0.4321,0.2033,0.1218,1.3225,0.7927
