 , ,Wild_Marker.Argentina ,Bhima.Austria ,Florac.Austria ,Gingor.Austria ,jacenat.Austria ,YMK1234.Austria ,henryuuk.Belgium ,Inquatitis.Belgium ,JebusGobson.Belgium ,Leprecon.Belgium ,modomario.Belgium ,Nemo84.Belgium ,Quazz.Belgium ,silverionmox.Belgium ,TheApatheist.Belgium ,9A4172.Bosnia ,hab136.Bulgaria ,guildensterncrantz.Croatia ,neohellpoet.Croatia ,kristynaZ.Czech ,Buffalox.Denmark ,DarthSatoris.Denmark ,Gareth321.Denmark ,Skulder.Denmark ,ThereIsAThingForThat.Denmark ,The_Serious_Account.Denmark ,AnTyx.Estonia ,h2ppyme.Estonia ,noys.Estonia ,ArttuH5N1.Finland ,Delheru.Finland ,falconbox.Finland ,Jushak.Finland ,KapteeniJ.Finland ,kerat.Finland ,makoivis.Finland ,spin0.Finland ,justkjfrost.France ,Kalulosu.France ,keepthepace.France ,Low_discrepancy.France ,MartelFirst.France ,Radulno.France ,ScalSaver.France ,UnluckyLuke.France ,yoshi570.France ,afito.Germany ,Asyx.Germany ,barsoap.Germany ,Chariotwheel.Germany ,DerberAuner.Germany ,DocTomoe.Germany ,Doldenberg.Germany ,escalat0r.Germany ,FrigOffCyrus.Germany ,greenascanbe.Germany ,IHaTeD2.Germany ,iTomes.Germany ,king_of_the_universe.Germany ,Loki-L.Germany ,MarktpLatz.Germany ,misnamed.Germany ,MisterMysterios.Germany ,R88SHUN.Germany ,rEvolutionTU.Germany ,reymt.Germany ,Roflkopt3r.Germany ,roionsteroids.Germany ,SAKUJ0.Germany ,skgoa.Germany ,thewindinthewillows.Germany ,TheZett.Germany ,VERTIKAL19.Germany ,Vik1ng.Germany ,Werner__Herzog.Germany ,xxTheGoDxx.Germany ,christoskal.Greece ,OrangeJuliusPage.Greece ,Poromenos.Greece ,gerusz.Hungary ,marmulak.Hungary ,mszegedy.Hungary ,shinarit.Hungary ,alexmikli.Iceland ,ameya2693.India ,eaturbrainz.Israel ,gprime.Israel ,Adahn5.Italy ,improb.Italy ,IronMew.Italy ,occupythekitchen.Italy ,Dissentient.Latvia ,Airazz.Lithuania ,Dragoniel.Lithuania ,Strazdas1.Lithuania ,Sunjammer0037.Lithuania ,_vargas_.Lithuania ,himit.Malta ,hseldon10.Mexico ,Amanoo.Netherlands ,blockpro156.Netherlands ,BorgDrone.Netherlands ,crackanape.Netherlands ,Jasper1984.Netherlands ,jippiejee.Netherlands ,LaoBa.Netherlands ,Merari01.Netherlands ,ReinierPersoon.Netherlands ,savois-faire.Netherlands ,small_trunks.Netherlands ,SpHornet.Netherlands ,TheActualAWdeV.Netherlands ,TheFlyingBastard.Netherlands ,TheRufmeisterGeneral.Netherlands ,TomSwirly.Netherlands ,Tozapeloda77.Netherlands ,zazzlekdazzle.Netherlands ,AntiChr1st.Norway ,Arve.Norway ,bobosuda.Norway ,foamed.Norway ,rdzzl.Norway ,rubygeek.Norway ,Soltheron.Norway ,TheJack38.Norway ,tso.Norway ,vintermann.Norway ,W00ster.Norway ,Imperium_Dragon.Philippines ,Jakkubus.Poland ,yoshi314.Poland ,FuujinSama.Portugal ,omegaxLoL.Portugal ,adevland.Romania ,dumnezero.Romania ,florinandrei.Romania ,NilacTheGrim.Romania ,postblitz.Romania ,Aemilius_Paulus.Russia ,BabyWookie.Russia ,thefran.Russia ,OmegaVesko.Serbia ,cruyff8.Spain ,Erratic85.Spain ,Eryemil.Spain ,LupineChemist.Spain ,Miguelinileugim.Spain ,MithranArkanere.Spain ,redlightsaber.Spain ,segagamer.Spain ,turtleeatingalderman.Spain ,effa94.Sweden ,essbeck.Sweden ,Falsus.Sweden ,helm.Sweden ,Hovsky.Sweden ,PatHeist.Sweden ,Platypuskeeper.Sweden ,rabbitlion.Sweden ,Rhamni.Sweden ,splergel.Sweden ,theCroc.Sweden ,TinyTinyDwarf.Sweden ,xmnstr.Sweden ,Milleuros.Switzerland ,alexfrancisburchard.Turkey ,Redhaired103.Turkey ,killerstorm.Ukraine
ttr, ,0.036965 ,0.033524 ,0.023629 ,0.031648 ,0.039122 ,0.042201 ,0.035432 ,0.032741 ,0.03729 ,0.032968 ,0.037635 ,0.028347 ,0.029111 ,0.034034 ,0.038197 ,0.023214 ,0.045472 ,0.044411 ,0.026998 ,0.020581 ,0.0268 ,0.041026 ,0.034909 ,0.048449 ,0.039238 ,0.024505 ,0.039971 ,0.034304 ,0.032244 ,0.033133 ,0.029979 ,0.034565 ,0.032641 ,0.027373 ,0.038789 ,0.033359 ,0.044349 ,0.039337 ,0.034866 ,0.037542 ,0.041943 ,0.028731 ,0.024214 ,0.037569 ,0.022304 ,0.033003 ,0.034677 ,0.024139 ,0.04667 ,0.039142 ,0.032125 ,0.048194 ,0.028308 ,0.039182 ,0.03483 ,0.023258 ,0.024345 ,0.026918 ,0.04006 ,0.040296 ,0.029615 ,0.032711 ,0.035305 ,0.039299 ,0.036821 ,0.034335 ,0.041924 ,0.026434 ,0.034416 ,0.034064 ,0.030402 ,0.037984 ,0.032607 ,0.033919 ,0.027442 ,0.025237 ,0.020727 ,0.038694 ,0.03586 ,0.04814 ,0.031576 ,0.044904 ,0.027557 ,0.037365 ,0.034947 ,0.0465 ,0.030648 ,0.036206 ,0.038422 ,0.040126 ,0.032777 ,0.02732 ,0.033589 ,0.032378 ,0.034228 ,0.02642 ,0.039416 ,0.032956 ,0.034269 ,0.029253 ,0.022672 ,0.030622 ,0.035623 ,0.053098 ,0.032371 ,0.057236 ,0.029067 ,0.030483 ,0.037544 ,0.031646 ,0.025961 ,0.04738 ,0.037939 ,0.038426 ,0.034967 ,0.044326 ,0.029844 ,0.029107 ,0.037352 ,0.031287 ,0.048445 ,0.025399 ,0.033781 ,0.029557 ,0.035134 ,0.034657 ,0.041471 ,0.038339 ,0.038138 ,0.037469 ,0.035418 ,0.031152 ,0.020765 ,0.031783 ,0.036993 ,0.036998 ,0.033215 ,0.047982 ,0.039556 ,0.032014 ,0.041548 ,0.035127 ,0.072256 ,0.025556 ,0.031263 ,0.029077 ,0.027117 ,0.030759 ,0.034227 ,0.027016 ,0.040283 ,0.036089 ,0.024783 ,0.031803 ,0.039928 ,0.035702 ,0.034601 ,0.050187 ,0.033583 ,0.032961 ,0.030029 ,0.036682 ,0.030841 ,0.024864 ,0.031723 ,0.029182 ,0.019684 ,0.036147
1, abhorrent, 0, 0.027777777777777776, 0, 0.8571428571428571, 1.0, 0, 0, 0.0, 0.6666666666666666, 0.0, 0, 0.75, 0.8333333333333334, 0.5, 1.0, 0.6666666666666666, 1.0, 1.0, 0, 0.0, 1.0, 1.0, 0.6451612903225806, 1.0, 0.0, 0.0, 0, 1.0, 0, 0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 1.0, 1.0, 1.0, 0.0, 0, 0.5, 0.6666666666666666, 1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 1.0, 1.0, 1.0, 0, 0.75, 0.0, 0, 1.0, 0.9565217391304348, 0.25, 0, 0, 1.0, 1.0, 1.0, 0.75, 1.0, 0, 1.0, 1.0, 0.5, 0, 0, 0.0, 1.0, 0, 0, 0.045454545454545456, 1.0, 0, 1.0, 0.0, 1.0, 0.6666666666666666, 1.0, 0.6153846153846154, 0.2, 0.6923076923076923, 0, 0, 0, 1.0, 1.0, 0, 1.0, 0.25, 0, 1.0, 0, 1.0, 0, 0, 0.8, 0, 0, 1.0, 0.8671328671328671, 0, 0.9473684210526315, 0, 1.0, 0.0, 0.8421052631578947, 0, 0.875, 1.0, 0.0, 0.3333333333333333, 0, 0.3333333333333333, 0, 0, 0.8484848484848485, 0.25, 1.0, 0, 0.3333333333333333, 0.6666666666666666, 0, 0, 1.0, 1.0, 0, 0.0, 1.0, 0.5, 0.0, 0, 0.5, 1.0, 0.6666666666666666, 0, 1.0, 1.0, 0.6296296296296297, 1.0, 0.5, 1.0, 0.7368421052631579, 0.0, 0.6, 0, 0, 0.0, 0.8571428571428571, 0, 1.0, 0.25, 0.0, 1.0, 0, 1.0, 1.0, 0, 0, 0, 0, 1.0
1, repugnant, 0, 0.9722222222222222, 0, 0.14285714285714285, 0.0, 0, 0, 1.0, 0.3333333333333333, 1.0, 0, 0.25, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.0, 0.0, 0, 1.0, 0.0, 0.0, 0.3548387096774194, 0.0, 1.0, 1.0, 0, 0.0, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0.5, 0.3333333333333333, 0.0, 0, 0.0, 0, 0.0, 0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0, 0.25, 1.0, 0, 0.0, 0.043478260869565216, 0.75, 0, 0, 0.0, 0.0, 0.0, 0.25, 0.0, 0, 0.0, 0.0, 0.5, 0, 0, 1.0, 0.0, 0, 0, 0.9545454545454546, 0.0, 0, 0.0, 1.0, 0.0, 0.3333333333333333, 0.0, 0.38461538461538464, 0.8, 0.3076923076923077, 0, 0, 0, 0.0, 0.0, 0, 0.0, 0.75, 0, 0.0, 0, 0.0, 0, 0, 0.2, 0, 0, 0.0, 0.13286713286713286, 0, 0.05263157894736842, 0, 0.0, 1.0, 0.15789473684210525, 0, 0.125, 0.0, 1.0, 0.6666666666666666, 0, 0.6666666666666666, 0, 0, 0.15151515151515152, 0.75, 0.0, 0, 0.6666666666666666, 0.3333333333333333, 0, 0, 0.0, 0.0, 0, 1.0, 0.0, 0.5, 1.0, 0, 0.5, 0.0, 0.3333333333333333, 0, 0.0, 0.0, 0.37037037037037035, 0.0, 0.5, 0.0, 0.2631578947368421, 1.0, 0.4, 0, 0, 1.0, 0.14285714285714285, 0, 0.0, 0.75, 1.0, 0.0, 0, 0.0, 0.0, 0, 0, 0, 0, 0.0
2, abject, 0.0, 1.0, 0, 0, 0, 0.0, 0.0, 0.16666666666666666, 0.7142857142857143, 0.0, 0.0, 1.0, 0.0, 1.0, 0.9, 0.0, 0.4, 0.3333333333333333, 0.15384615384615385, 0, 1.0, 0.0, 0.15, 0.0, 0.0, 0, 0, 0, 0, 0.0, 1.0, 0.3333333333333333, 0.0, 0, 1.0, 1.0, 0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0, 0.0, 0.14285714285714285, 0, 0.0, 0.2777777777777778, 0, 0.0, 0.5, 0, 0.0, 0.3103448275862069, 0, 0.0, 0.0, 1.0, 0.4, 1.0, 1.0, 0, 0.5666666666666667, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0, 0.1111111111111111, 0.0, 0, 0.0, 0.0, 0.8333333333333334, 1.0, 0.0, 1.0, 0, 0.0, 0.0, 0.7142857142857143, 0.3684210526315789, 1.0, 0.75, 0, 1.0, 0.0, 0.0, 0.3333333333333333, 0, 0.0, 0.5, 0, 0.5, 0, 0.0, 0.0, 0, 0.7142857142857143, 1.0, 0, 0.0, 0.9921259842519685, 0, 1.0, 1.0, 0, 0.7142857142857143, 0.08695652173913043, 0.5, 0.75, 0, 1.0, 0.0, 0, 0.0, 0.0, 1.0, 0.7894736842105263, 0.0, 0.0, 0, 0.0, 1.0, 0, 0, 1.0, 0.0, 0, 0.0, 0.5, 1.0, 1.0, 0, 0.21428571428571427, 0.0, 0.05555555555555555, 0.0, 0.6666666666666666, 0, 0.2222222222222222, 1.0, 0, 0, 0.0, 0.08333333333333333, 0.5, 0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0.6363636363636364, 0, 0, 0.0, 0.0, 0, 0
2, scummy, 1.0, 0.0, 0, 0, 0, 1.0, 1.0, 0.8333333333333334, 0.2857142857142857, 1.0, 1.0, 0.0, 1.0, 0.0, 0.1, 1.0, 0.6, 0.6666666666666666, 0.8461538461538461, 0, 0.0, 1.0, 0.85, 1.0, 1.0, 0, 0, 0, 0, 1.0, 0.0, 0.6666666666666666, 1.0, 0, 0.0, 0.0, 0, 1.0, 1.0, 0.0, 0.0, 0, 0, 0, 1.0, 0.8571428571428571, 0, 1.0, 0.7222222222222222, 0, 1.0, 0.5, 0, 1.0, 0.6896551724137931, 0, 1.0, 1.0, 0.0, 0.6, 0.0, 0.0, 0, 0.43333333333333335, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0, 0.8888888888888888, 1.0, 0, 1.0, 1.0, 0.16666666666666666, 0.0, 1.0, 0.0, 0, 1.0, 1.0, 0.2857142857142857, 0.631578947368421, 0.0, 0.25, 0, 0.0, 1.0, 1.0, 0.6666666666666666, 0, 1.0, 0.5, 0, 0.5, 0, 1.0, 1.0, 0, 0.2857142857142857, 0.0, 0, 1.0, 0.007874015748031496, 0, 0.0, 0.0, 0, 0.2857142857142857, 0.9130434782608695, 0.5, 0.25, 0, 0.0, 1.0, 0, 1.0, 1.0, 0.0, 0.21052631578947367, 1.0, 1.0, 0, 1.0, 0.0, 0, 0, 0.0, 1.0, 0, 1.0, 0.5, 0.0, 0.0, 0, 0.7857142857142857, 1.0, 0.9444444444444444, 1.0, 0.3333333333333333, 0, 0.7777777777777778, 0.0, 0, 0, 1.0, 0.9166666666666666, 0.5, 0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0.36363636363636365, 0, 0, 1.0, 1.0, 0, 0
3, ace, 0.10752688172043011, 0.0, 0.12025316455696203, 0.09090909090909091, 0.008333333333333333, 0.02857142857142857, 0.008264462809917356, 0.045454545454545456, 0.02, 0.02631578947368421, 0.09302325581395349, 0.1111111111111111, 0.0234375, 0.0641025641025641, 0.15584415584415584, 0.05263157894736842, 0.0, 0.029411764705882353, 0.05970149253731343, 0.25, 0.015625, 0.03333333333333333, 0.013333333333333334, 0.014925373134328358, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.027777777777777776, 0.05343511450381679, 0.0026455026455026454, 0.08759124087591241, 0.025477707006369428, 0.010416666666666666, 0.04081632653061224, 0.10317460317460317, 0.0, 0.02857142857142857, 0.0, 0.02702702702702703, 0.01694915254237288, 0.0, 0.0743801652892562, 0.02666666666666667, 0.011320754716981131, 0.05660377358490566, 0.0, 0.06086956521739131, 0.06504065040650407, 0.17989417989417988, 0.0, 0.03896103896103896, 0.125, 0.0776255707762557, 0.0, 0.0, 0.02631578947368421, 0.06007067137809187, 0.005825242718446602, 0.0, 0.02666666666666667, 0.08, 0.010869565217391304, 0.04878048780487805, 0.06779661016949153, 0.3121951219512195, 0.045454545454545456, 0.14492753623188406, 0.0136986301369863, 0.14285714285714285, 0.043478260869565216, 0.14285714285714285, 0.08080808080808081, 0.0, 0.034482758620689655, 0.2972972972972973, 0.06796116504854369, 0.03125, 0.04054054054054054, 0.01694915254237288, 0.02158273381294964, 0.02857142857142857, 0.03, 0.07100591715976332, 0.054140127388535034, 0.047619047619047616, 0.15, 0.009259259259259259, 0.0, 0.050314465408805034, 0.03225806451612903, 0.005714285714285714, 0.08333333333333333, 0.5253164556962026, 0.023255813953488372, 0.0, 0.12280701754385964, 0.0, 0.0, 0.023972602739726026, 0.0, 0.025974025974025976, 0.0, 0.023255813953488372, 0.20903954802259886, 0.007633587786259542, 0.008771929824561403, 0.0, 0.0, 0.010309278350515464, 0.043478260869565216, 0.04878048780487805, 0.027777777777777776, 0.11940298507462686, 0.016129032258064516, 0.013793103448275862, 0.056818181818181816, 0.05128205128205128, 0.011363636363636364, 0.05, 0.0967741935483871, 0.03529411764705882, 0.018518518518518517, 0.03333333333333333, 0.05102040816326531, 0.012987012987012988, 0.004608294930875576, 0.07611548556430446, 0.043478260869565216, 0.014492753623188406, 0.1, 0.016666666666666666, 0.0, 0.0, 0.0017761989342806395, 0.006600660066006601, 0.08181818181818182, 0.3791208791208791, 0.20408163265306123, 0.02197802197802198, 0.012195121951219513, 0.025510204081632654, 0.0, 0.09230769230769231, 0.06521739130434782, 0.02040816326530612, 0.0, 0.027777777777777776, 0.0, 0.0, 0.012081784386617101, 0.0, 0.021645021645021644, 0.039473684210526314, 0.07407407407407407, 0.0, 0.0, 0.13725490196078433, 0.0379746835443038, 0.022388059701492536, 0.0, 0.22950819672131148, 0.0, 0.27040816326530615, 0.0, 0.0, 0.0
3, adept, 0.021505376344086023, 0.3333333333333333, 0.0, 0.045454545454545456, 0.008333333333333333, 0.014285714285714285, 0.0, 0.045454545454545456, 0.0, 0.017543859649122806, 0.0, 0.027777777777777776, 0.0078125, 0.0641025641025641, 0.0, 0.18421052631578946, 0.025, 0.0, 0.007462686567164179, 0.0, 0.015625, 0.005555555555555556, 0.2, 0.0, 0.02631578947368421, 0.0, 0.0, 0.0, 0.0, 0.05555555555555555, 0.007633587786259542, 0.007936507936507936, 0.051094890510948905, 0.0, 0.03125, 0.16326530612244897, 0.007936507936507936, 0.058823529411764705, 0.02857142857142857, 0.03977272727272727, 0.0, 0.0, 0.02586206896551724, 0.06611570247933884, 0.0, 0.007547169811320755, 0.009433962264150943, 0.0, 0.034782608695652174, 0.0, 0.0, 0.05263157894736842, 0.0, 0.0, 0.0228310502283105, 0.0, 0.0, 0.0, 0.0353356890459364, 0.001941747572815534, 0.0, 0.0, 0.08, 0.03260869565217391, 0.0, 0.01694915254237288, 0.0, 0.045454545454545456, 0.0, 0.0410958904109589, 0.0, 0.0, 0.21428571428571427, 0.0, 0.0, 0.0, 0.0, 0.08737864077669903, 0.0, 0.009009009009009009, 0.03389830508474576, 0.02158273381294964, 0.08571428571428572, 0.0, 0.14792899408284024, 0.022292993630573247, 0.0, 0.15, 0.0, 0.05660377358490566, 0.025157232704402517, 0.0, 0.0, 0.037037037037037035, 0.006329113924050633, 0.015503875968992248, 0.02727272727272727, 0.07017543859649122, 0.01282051282051282, 0.09230769230769231, 0.003424657534246575, 0.0, 0.03896103896103896, 0.0048543689320388345, 0.0, 0.05649717514124294, 0.007633587786259542, 0.0043859649122807015, 0.010752688172043012, 0.0, 0.0, 0.028985507246376812, 0.008130081300813009, 0.05555555555555555, 0.0, 0.04838709677419355, 0.010344827586206896, 0.011363636363636364, 0.02564102564102564, 0.005681818181818182, 0.0, 0.008064516129032258, 0.011764705882352941, 0.018518518518518517, 0.09166666666666666, 0.23469387755102042, 0.0, 0.0, 0.023622047244094488, 0.14782608695652175, 0.014492753623188406, 0.0, 0.0, 0.0, 0.020618556701030927, 0.0026642984014209592, 0.006600660066006601, 0.01818181818181818, 0.054945054945054944, 0.08163265306122448, 0.016483516483516484, 0.0, 0.04591836734693878, 0.05714285714285714, 0.046153846153846156, 0.021739130434782608, 0.01020408163265306, 0.11494252873563218, 0.0, 0.0, 0.0196078431372549, 0.01858736059479554, 0.0, 0.030303030303030304, 0.0, 0.0, 0.047619047619047616, 0.017094017094017096, 0.0, 0.012658227848101266, 0.0, 0.014705882352941176, 0.03278688524590164, 0.08333333333333333, 0.0, 0.125, 0.0, 0.0
3, genius, 0.41935483870967744, 0.3333333333333333, 0.06329113924050633, 0.45454545454545453, 0.058333333333333334, 0.11428571428571428, 0.10330578512396695, 0.22727272727272727, 0.66, 0.3684210526315789, 0.27906976744186046, 0.08333333333333333, 0.3515625, 0.40384615384615385, 0.19480519480519481, 0.5526315789473685, 0.2, 0.29411764705882354, 0.31343283582089554, 0.125, 0.421875, 0.1388888888888889, 0.18666666666666668, 0.07462686567164178, 0.0, 0.22826086956521738, 0.0, 0.3157894736842105, 0.2, 0.2222222222222222, 0.3893129770992366, 0.09523809523809523, 0.18248175182481752, 0.17834394904458598, 0.3854166666666667, 0.2857142857142857, 0.23015873015873015, 0.5294117647058824, 0.5619047619047619, 0.07954545454545454, 0.35135135135135137, 0.5, 0.14655172413793102, 0.6611570247933884, 0.17333333333333334, 0.38113207547169814, 0.018867924528301886, 0.24324324324324326, 0.22608695652173913, 0.37398373983739835, 0.06613756613756613, 0.24561403508771928, 0.6493506493506493, 0.1875, 0.273972602739726, 0.14285714285714285, 0.01818181818181818, 0.34210526315789475, 0.053003533568904596, 0.16310679611650486, 0.07692307692307693, 0.48, 0.04, 0.17391304347826086, 0.4878048780487805, 0.06779661016949153, 0.18536585365853658, 0.4090909090909091, 0.014492753623188406, 0.1095890410958904, 0.19047619047619047, 0.21739130434782608, 0.03571428571428571, 0.15151515151515152, 0.5454545454545454, 0.3448275862068966, 0.2702702702702703, 0.20388349514563106, 0.2916666666666667, 0.06756756756756757, 0.2542372881355932, 0.14388489208633093, 0.1357142857142857, 0.26, 0.3905325443786982, 0.28662420382165604, 0.2619047619047619, 0.4, 0.09259259259259259, 0.20754716981132076, 0.3333333333333333, 0.0967741935483871, 0.24, 0.09259259259259259, 0.18354430379746836, 0.5968992248062015, 0.13636363636363635, 0.2807017543859649, 0.20512820512820512, 0.4153846153846154, 0.0547945205479452, 0.13513513513513514, 0.33766233766233766, 0.014563106796116505, 0.3023255813953488, 0.1694915254237288, 0.10687022900763359, 0.03508771929824561, 0.40860215053763443, 0.625, 0.08247422680412371, 0.2463768115942029, 0.08130081300813008, 0.3333333333333333, 0.16417910447761194, 0.1774193548387097, 0.3275862068965517, 0.3522727272727273, 0.23076923076923078, 0.26136363636363635, 0.25, 0.0967741935483871, 0.17647058823529413, 0.5370370370370371, 0.0, 0.14285714285714285, 0.3116883116883117, 0.3087557603686636, 0.11811023622047244, 0.25217391304347825, 0.21739130434782608, 0.3333333333333333, 0.4666666666666667, 0.4230769230769231, 0.1958762886597938, 0.03818827708703375, 0.19141914191419143, 0.5272727272727272, 0.3021978021978022, 0.2857142857142857, 0.34615384615384615, 0.3780487804878049, 0.05102040816326531, 0.6, 0.26153846153846155, 0.2826086956521739, 0.6530612244897959, 0.20689655172413793, 0.8055555555555556, 0.10638297872340426, 0.23529411764705882, 0.03438661710037175, 0.14285714285714285, 0.27705627705627706, 0.18421052631578946, 0.25925925925925924, 0.19047619047619047, 0.3162393162393162, 0.049019607843137254, 0.3291139240506329, 0.06716417910447761, 0.22058823529411764, 0.11475409836065574, 0.3888888888888889, 0.04081632653061224, 0.3125, 0.0, 0.8777777777777778
3, star, 0.45161290322580644, 0.2222222222222222, 0.8164556962025317, 0.4090909090909091, 0.9166666666666666, 0.8428571428571429, 0.8636363636363636, 0.6818181818181818, 0.3, 0.5701754385964912, 0.627906976744186, 0.7777777777777778, 0.609375, 0.46153846153846156, 0.6233766233766234, 0.21052631578947367, 0.675, 0.6617647058823529, 0.6194029850746269, 0.625, 0.53125, 0.8222222222222222, 0.6, 0.9104477611940298, 0.9210526315789473, 0.7717391304347826, 0.5, 0.5789473684210527, 0.7333333333333333, 0.6944444444444444, 0.44274809160305345, 0.8941798941798942, 0.6204379562043796, 0.7834394904458599, 0.5416666666666666, 0.46938775510204084, 0.5555555555555556, 0.4117647058823529, 0.38095238095238093, 0.8806818181818182, 0.6216216216216216, 0.4322033898305085, 0.8017241379310345, 0.19834710743801653, 0.8, 0.4830188679245283, 0.8207547169811321, 0.7567567567567568, 0.6782608695652174, 0.5609756097560976, 0.753968253968254, 0.7017543859649122, 0.2987012987012987, 0.6875, 0.5159817351598174, 0.8571428571428571, 0.9772727272727273, 0.631578947368421, 0.8445229681978799, 0.8194174757281554, 0.9230769230769231, 0.48, 0.8, 0.782608695652174, 0.4634146341463415, 0.8305084745762712, 0.4878048780487805, 0.45454545454545453, 0.8405797101449275, 0.5753424657534246, 0.6666666666666666, 0.7391304347826086, 0.6071428571428571, 0.7676767676767676, 0.45454545454545453, 0.6206896551724138, 0.43243243243243246, 0.6310679611650486, 0.6770833333333334, 0.8828828828828829, 0.6949152542372882, 0.8129496402877698, 0.75, 0.71, 0.3668639053254438, 0.5955414012738853, 0.6904761904761905, 0.3, 0.8148148148148148, 0.7358490566037735, 0.5849056603773585, 0.8709677419354839, 0.7485714285714286, 0.7870370370370371, 0.27848101265822783, 0.3643410852713178, 0.8181818181818182, 0.5263157894736842, 0.7307692307692307, 0.49230769230769234, 0.9178082191780822, 0.8648648648648649, 0.5714285714285714, 0.9805825242718447, 0.6744186046511628, 0.559322033898305, 0.8778625954198473, 0.9473684210526315, 0.5483870967741935, 0.375, 0.9072164948453608, 0.6811594202898551, 0.8617886178861789, 0.5833333333333334, 0.6567164179104478, 0.7580645161290323, 0.4241379310344828, 0.5, 0.6923076923076923, 0.6136363636363636, 0.7, 0.6451612903225806, 0.7764705882352941, 0.42592592592592593, 0.875, 0.5714285714285714, 0.6233766233766234, 0.6866359447004609, 0.7690288713910761, 0.5478260869565217, 0.7536231884057971, 0.5666666666666667, 0.43333333333333335, 0.5769230769230769, 0.711340206185567, 0.955595026642984, 0.7854785478547854, 0.36363636363636365, 0.25824175824175827, 0.42857142857142855, 0.6153846153846154, 0.6097560975609756, 0.8571428571428571, 0.34285714285714286, 0.5846153846153846, 0.5434782608695652, 0.3163265306122449, 0.6666666666666666, 0.08333333333333333, 0.8936170212765957, 0.7450980392156863, 0.9312267657992565, 0.8571428571428571, 0.6363636363636364, 0.7368421052631579, 0.6296296296296297, 0.7619047619047619, 0.6666666666666666, 0.8137254901960784, 0.620253164556962, 0.8805970149253731, 0.7205882352941176, 0.6229508196721312, 0.4166666666666667, 0.6887755102040817, 0.5625, 1.0, 0.12222222222222222
3, superstar, 0.0, 0.1111111111111111, 0.0, 0.0, 0.008333333333333333, 0.0, 0.024793388429752067, 0.0, 0.02, 0.017543859649122806, 0.0, 0.0, 0.0078125, 0.00641025641025641, 0.025974025974025976, 0.0, 0.1, 0.014705882352941176, 0.0, 0.0, 0.015625, 0.0, 0.0, 0.0, 0.02631578947368421, 0.0, 0.5, 0.10526315789473684, 0.06666666666666667, 0.0, 0.10687022900763359, 0.0, 0.058394160583941604, 0.012738853503184714, 0.03125, 0.04081632653061224, 0.10317460317460317, 0.0, 0.0, 0.0, 0.0, 0.05084745762711865, 0.02586206896551724, 0.0, 0.0, 0.1169811320754717, 0.09433962264150944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012987012987012988, 0.0, 0.1095890410958904, 0.0, 0.004545454545454545, 0.0, 0.007067137809187279, 0.009708737864077669, 0.0, 0.013333333333333334, 0.0, 0.0, 0.0, 0.01694915254237288, 0.014634146341463415, 0.045454545454545456, 0.0, 0.2602739726027397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009708737864077669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023668639053254437, 0.041401273885350316, 0.0, 0.0, 0.08333333333333333, 0.0, 0.006289308176100629, 0.0, 0.005714285714285714, 0.0, 0.006329113924050633, 0.0, 0.01818181818181818, 0.0, 0.05128205128205128, 0.0, 0.0, 0.0, 0.025974025974025976, 0.0, 0.0, 0.005649717514124294, 0.0, 0.0043859649122807015, 0.03225806451612903, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05970149253731343, 0.0, 0.22413793103448276, 0.07954545454545454, 0.0, 0.10795454545454546, 0.0, 0.1532258064516129, 0.0, 0.0, 0.0, 0.0, 0.05194805194805195, 0.0, 0.013123359580052493, 0.008695652173913044, 0.0, 0.0, 0.08333333333333333, 0.0, 0.07216494845360824, 0.0017761989342806395, 0.009900990099009901, 0.00909090909090909, 0.005494505494505495, 0.0, 0.0, 0.0, 0.02040816326530612, 0.0, 0.015384615384615385, 0.08695652173913043, 0.0, 0.011494252873563218, 0.08333333333333333, 0.0, 0.0, 0.0037174721189591076, 0.0, 0.03463203463203463, 0.039473684210526314, 0.037037037037037035, 0.0, 0.0, 0.0, 0.0, 0.029850746268656716, 0.04411764705882353, 0.0, 0.1111111111111111, 0.0, 0.0, 0.0, 0.0
