Country, UserName, sentences#, tokens#
Argentina,Wild_Marker,116016,1609308
Austria,Bhima,48801,1019008
Austria,Florac,81579,1193737
Austria,Gingor,98280,1410852
Austria,jacenat,82130,1266487
Austria,YMK1234,73549,1107180
Belgium,henryuuk,178539,3406292
Belgium,Inquatitis,58459,1092503
Belgium,JebusGobson,93760,1463430
Belgium,Leprecon,86873,1436580
Belgium,modomario,58741,1001656
Belgium,Nemo84,53627,1029001
Belgium,Quazz,108053,1584124
Belgium,silverionmox,306940,5437907
Belgium,TheApatheist,66209,1233639
Bosnia,9A4172,84536,1259007
Bulgaria,hab136,72729,1194665
Croatia,guildensterncrantz,79792,1489268
Croatia,neohellpoet,87467,1664929
Czech,kristynaZ,45618,1014167
Denmark,Buffalox,71485,1572377
Denmark,DarthSatoris,66819,1075514
Denmark,Gareth321,157107,2254911
Denmark,Skulder,72242,1360878
Denmark,ThereIsAThingForThat,72548,1218265
Denmark,The_Serious_Account,73643,1005507
Estonia,AnTyx,105722,1314663
Estonia,h2ppyme,81909,1262566
Estonia,noys,81667,1441169
Finland,ArttuH5N1,88954,1160688
Finland,Delheru,76368,1542419
Finland,falconbox,239041,3337851
Finland,Jushak,64777,1213305
Finland,KapteeniJ,67174,1334006
Finland,kerat,66316,1176758
Finland,makoivis,113185,1596510
Finland,spin0,58678,1036207
France,justkjfrost,58432,1095487
France,Kalulosu,93419,1611505
France,keepthepace,77148,1336595
France,Low_discrepancy,88274,1156601
France,MartelFirst,67105,1222977
France,Radulno,74567,1344377
France,ScalSaver,113709,1375929
France,UnluckyLuke,146328,1386812
France,yoshi570,138368,1982220
Germany,afito,83882,1743800
Germany,Asyx,126939,2073275
Germany,barsoap,142028,2720373
Germany,Chariotwheel,83924,1268322
Germany,DerberAuner,85659,1522563
Germany,DocTomoe,65445,1094959
Germany,Doldenberg,61869,1178232
Germany,escalat0r,66215,1140281
Germany,FrigOffCyrus,62423,1126338
Germany,greenascanbe,115105,1897048
Germany,IHaTeD2,53631,1016692
Germany,iTomes,54441,1196908
Germany,king_of_the_universe,199927,3207561
Germany,Loki-L,109267,2437079
Germany,MarktpLatz,83251,1319984
Germany,misnamed,67511,1465649
Germany,MisterMysterios,48854,1275665
Germany,R88SHUN,82308,1194878
Germany,rEvolutionTU,49113,1015411
Germany,reymt,71359,1191029
Germany,Roflkopt3r,152346,2836935
Germany,roionsteroids,119098,1621379
Germany,SAKUJ0,108889,1599711
Germany,skgoa,61974,1060707
Germany,thewindinthewillows,50485,1060892
Germany,TheZett,86776,1084710
Germany,VERTIKAL19,101155,1682434
Germany,Vik1ng,95313,1507274
Germany,Werner__Herzog,120824,1827865
Germany,xxTheGoDxx,66025,1372945
Greece,christoskal,48394,1023014
Greece,OrangeJuliusPage,67940,1326556
Greece,Poromenos,70144,1010317
Hungary,gerusz,74086,1228010
Hungary,marmulak,71809,1415472
Hungary,mszegedy,70668,1043775
Hungary,shinarit,70690,1029496
Iceland,alexmikli,93933,1442122
India,ameya2693,89079,1520266
Israel,eaturbrainz,337052,5790299
Israel,gprime,81294,1515771
Italy,Adahn5,56243,1039041
Italy,improb,54698,1150816
Italy,IronMew,61602,1258622
Italy,occupythekitchen,68790,1292123
Latvia,Dissentient,63458,1163994
Lithuania,Airazz,234904,3291162
Lithuania,Dragoniel,71831,1199293
Lithuania,Strazdas1,131464,1939727
Lithuania,Sunjammer0037,122763,2678560
Lithuania,_vargas_,88914,1218487
Malta,himit,69536,1208928
Mexico,hseldon10,65444,1046742
Netherlands,Amanoo,105045,1600145
Netherlands,blockpro156,67339,1587989
Netherlands,BorgDrone,64356,1078879
Netherlands,crackanape,150972,2677677
Netherlands,Jasper1984,86611,1487870
Netherlands,jippiejee,99254,1274432
Netherlands,LaoBa,79657,1278850
Netherlands,Merari01,245562,3454224
Netherlands,ReinierPersoon,94031,1657886
Netherlands,savois-faire,60282,1102616
Netherlands,small_trunks,111209,1424570
Netherlands,SpHornet,76176,1472797
Netherlands,TheActualAWdeV,94620,1129806
Netherlands,TheFlyingBastard,125926,1861537
Netherlands,TheRufmeisterGeneral,70651,1177959
Netherlands,TomSwirly,110106,2159790
Netherlands,Tozapeloda77,100690,1413159
Netherlands,zazzlekdazzle,68354,1509244
Norway,AntiChr1st,76576,1484116
Norway,Arve,135863,2940218
Norway,bobosuda,60671,1258257
Norway,foamed,76732,1422838
Norway,rdzzl,79779,1048994
Norway,rubygeek,113908,2757375
Norway,Soltheron,87929,1528866
Norway,TheJack38,87720,1484589
Norway,tso,72038,1206828
Norway,vintermann,71620,1220653
Norway,W00ster,144785,2348186
Philippines,Imperium_Dragon,137063,1751084
Poland,Jakkubus,78206,1369462
Poland,yoshi314,78728,1178289
Portugal,FuujinSama,79536,1247913
Portugal,omegaxLoL,74031,1054399
Romania,adevland,74176,1035300
Romania,dumnezero,170438,2531251
Romania,florinandrei,86702,1357828
Romania,NilacTheGrim,74965,1001382
Romania,postblitz,60799,1130367
Russia,Aemilius_Paulus,161518,3119163
Russia,BabyWookie,70300,1224059
Russia,thefran,124752,1795368
Serbia,OmegaVesko,87202,1305489
Spain,cruyff8,44697,1880099
Spain,Erratic85,59183,1292635
Spain,Eryemil,93048,1607899
Spain,LupineChemist,103174,1864428
Spain,Miguelinileugim,59267,1171841
Spain,MithranArkanere,112445,1874514
Spain,redlightsaber,65216,1505696
Spain,segagamer,106290,1643840
Spain,turtleeatingalderman,56174,1063785
Sweden,effa94,118575,2006068
Sweden,essbeck,65203,1146266
Sweden,Falsus,96715,1511982
Sweden,helm,88652,1369519
Sweden,Hovsky,99723,1291238
Sweden,PatHeist,57686,1085867
Sweden,Platypuskeeper,83816,1675007
Sweden,rabbitlion,58863,1137241
Sweden,Rhamni,82715,1237589
Sweden,splergel,125492,2029540
Sweden,theCroc,92839,1337679
Sweden,TinyTinyDwarf,75291,1008628
Sweden,xmnstr,87436,1098865
Switzerland,Milleuros,96311,1498893
Turkey,alexfrancisburchard,75265,1408168
Turkey,Redhaired103,59662,1103295
Ukraine,killerstorm,146157,2438608
