synset,word,Source,
1,abhorrent,Romance,
1,repugnant,Romance,
2,abject,Romance,
2,scummy,Germanic,
3,ace,Romance,
3,adept,Romance,
3,genius,Romance,
3,star,Germanic,
3,superstar,Germanic,"super - Romance, star - Germanic"
4,ace,Romance,
4,nail,Germanic,
5,ache,Germanic,
5,yearn,Germanic,
5,Yen,Japanese,
5,pine,Romance,
6,achievable,Romance,
6,doable,Germanic,"do-Germanic, able-Romance"
6,manageable,Romance,
7,acquaintance,Romance,
7,familiarity,Romance,
8,acute,Romance,
8,sharp,Germanic,
9,addict,Romance,
9,hook,Germanic,
10,adept,Romance,
10,expert,Romance,
10,proficient,Romance,
10, skillful,Germanic,
11,adhere,Romance,
11,bind,Germanic,
11, stick,Germanic,
12,adversity,Romance,
12,hardship,Germanic,
13,affluence,Romance,
13,richness,Germanic,
14,affluent,Romance,
14,flush,Germanic,?
15,agile,Romance,
15,nimble,Germanic,
16,aimless,Romance,
16,vagrant,Germanic,
17,alarm,Romance,
17,alert,Romance,
18,align,Romance,
18,adjust,Romance,
19,allegiance,Germanic,
19,loyalty,Romance,
20,alter,Romance,
20,modify,Romance,
21,alter,Romance,
21,vary,Romance,
22,alternate,Romance,
22,jump,Germanic,
23,amalgamation,Romance,
23,merger,Romance,"merge-Romance, er-Germanic"
24,amends,Romance,
24,redress,Romance,
25,ample,Romance,
25,sizeable,Romance,*
26,angel,Romance,
26,backer,Germanic,
27,annoy,Romance,
27,rag,Germanic,
27,irritate,Romance,
27,devil,Greek,
28,antipathy,Greek,
28,aversion,Romance,
29,apparent,Romance,
29,manifest,Romance,
30,apparition,Romance,
30,phantom,Romance,
30,specter,Romance,
31,appease,Romance,
31,placate,Germanic,
31,gentle,Romance,
32,appoint,Romance,
32,nominate,Romance,
33,approachable,Romance,
33,reachable,Germanic,
34,aristocratic,Greek,
34,gentle,Romance,
34,patrician,Romance,
35,arouse,Romance,a-Germanic rouse-Romance
35,elicit,Romance,
35,kindle,Germanic,
35,evoke,Romance,
35,raise,Germanic,
35,provoke,Romance,
36,artisan,Romance,
36,journeyman,Romance,
37,artistry,Romance,
37,prowess,Romance,
38,attachment,Romance,
38,adherence,Romance,
39,attend,Romance,
39,hang,Germanic,
40,attire,Romance,
40,garb,Germanic,
41,attract,Romance,
41,pull,Germanic,
42,auction,Romance,
